,번호,내용,태그
0,1, 인천 도심을 즐기다 ,#당일코스#1박2일#2박3일#월미도#인천차이나타운#인천대교#인천종합어시장#연안부두#대창반점#추천코스 
1,2, 인천의 명물빵 여행 ,#소래포구#울진대게빵소래본점#인천차이나타운#십리향#송월동동화마을#화마을돌고래피자#수도권#먹거리#도심여행#당일치기여행#바다풍경영화촬영지#복합문화공간#데이트코스#연인과함께#맛코스#당일코스#1박2일#2박3일 
2,3, 인천테마여행_긴 물길을 따라 이어지는 다채로운 여행 경인아라뱃길 ,#경인아라뱃길#인천여행#인천가볼만한곳#정서진#국립생물자원관#시천가람터#아라마루#아라폭포#수향원 
3,4," 인천 가볼만한 곳. 밤의 낭만과 바다의 설렘이 공존하는 곳, 영종도 야간 드라이브 코스 ",#인천가볼만한곳#인천여행#드라이브코스#야간드라이브#밤바다#영종도#카페오라#비치카페라군#인천공항#조개구이 
4,5," 옛 감성 물씬, 인천 구도심(동인천) 테마여행 ",#인천여행#인천여행코스#인천가볼만한곳#배다리헌책방거리#배다리성냥마을박물관#인천문화양조장#애관극장#신포국제시장#인천개항박물관#인천아트플랫폼#11월가볼만한곳#가을여행#가을여행코스#10월가볼만한곳#가을여행의_정석 
5,6, 인천 차이나타운 & 송월동 동화마을 ,#인천가볼만한곳#유네스코세계책의수도#한국근대문학관#역사여행#차이나타운#자유공원#송월동동화마을#인생샷#달동네박물관#체험학습#헌책방골목#서점#17_18한국관광100선#수도권#한국관광100선#인천#인천차이나타운&송월동동화마을 
6,7," 인천테마여행_매력이 넘치는 섬 강화도! 강화관광플랫폼, 강화풍물시장, 소창체험관, 고려궁지 ",#인천여행#강화도#강화도여행#강화관광플랫폼#강화풀물시장#소창체험관#고려궁지 
7,8, [인천 당일치기 여행] 부지런히 먹으러 가는 인천 개항장거리 먹투어 ,#맛있는여행#인천가볼만한곳#당일여행#인천여행#인천여행코스#구석구석미식회 
8,9, 인천의 구석구석 숨은 명물을 찾아서... ,#당일코스#1박2일#2박3일#추천코스 
9,10, 인천 중구 반일 도보코스 ,#도보코스#당일코스#1박2일#2박3일 
