score,y,ko_text
5.0,1,모둠이랑 라면 다 너무너무 맜있어요사람들이 많으니 꼭 미리 예약하고 가세요
5.0,1,시원하고 쾌적한 공간에서 조리 완료되어 나온 음식을 먹을 수 있어서 굿굿 모듬과 특양구이를 먹었는데 함께나온 부추와 양배추절임 환상궁합이에요단 웨이팅안하려면 네이버 예약하고 절대 시간맞춰가야한다는거  맛있어용
4.5,1,맛있어요 질도 좋고 항상 잘 먹어요 다만 라면이 너무 짜요
4.5,1,맛나요 자주먹습니다
5.0,1,굿구굿구구굿구굿국굿
4.0,1,구워져서 나와서 깔끔하게 먹을 수 있는 곳
5.0,1,예약으로 가면 조금 쾌적하게 즐길수 있어요일부 블로그 평가와는 다르게 맛은 괜찮았고 양은 남성기준으론 조금 적은양이었어요그래도 간만에 맛있는 음식 먹어서 좋았습니다
5.0,1,대창이 진짜 맛있네요 곱창이 쫄깃쫄깃 대파김치가 진짜 맛있어요  기름기를 딱 잡아줘서 곱창이 계속들어가요 웨이팅이 있었지만 넘 맛있어서  잊어버렸네요층도 꼭 열어주세요 
5.0,1,맛있어요 많이먹고 왔어요
3.5,1,음식이 최대 주문이 인분이고불편했어요먹다기다리고 먹다 기다리고 흐름이
5.0,1,본점에서 먹어봤는데 어디가 본점인가요  여기도 본점못지않게 소고기 질이 남다릅니다 신선한 한우 드실려면 여기 강추
4.5,1,소고기랑 무우채 같이먹으면 엄청 맛있어요
5.0,1,강북에서 유명하다는데 강남점도 엄청 맛있네요 
5.0,1,사장님 엄청 친절하시고 고기 완전 신선해요 한우라도 다른 거 같네요 잘먹고 갑니다
5.0,1,와 진짜 리뷰거의 안남기는데 갈 때마다 잘 챙겨주시고 고기도 변함없이 신선한 것만 쓰셔서 너무 좋네요 감사합니다 잘먹고 가요
4.5,1,회사가 근처라 자주오는데 항상 친절하시네요 고기 질도 착합니다  육회는 무조건 드셔보세요
4.0,1,후기보고 기대했는데 기대이상이네요 
5.0,1,사장님 친절하시구 신선해서 육회먹으러 자주가요
4.5,1,점심시간 때 육회비빔밥 자주 먹으러 오는데 단골집이 되었네요 
5.0,1,좋은 소고기 잘 먹고 갑니다 한우라해도 다 똑같은 게 아닌듯
4.5,1,두번째 방문인데 역쉬 고기맛 짱 주말이라 좀 어수선하긴했지만추천할만 한 곳이네요
5.0,1,숙성육이 식감도 좋고 고소하네요 강추 잘먹었습니다
1.5,0,고기맛은 가격만큼 나쁘진 않았으나 이 가격에 손님이 직접구워먹어야 하는 곳은 처음이네요 
5.0,1,잘 먹었습니다
5.0,1,회식가기 좋네요 고기 때깔이 최고 잘먹었습니다
5.0,1,친절하고 고기맛이 좋네요 숙성육이라는것 첨 먹어봤는데 식감이 부드럽고 좋았어요 강추
5.0,1,맛도 좋고 서비스도 좋고 친절하고고기도 맛나요 좋아요
5.0,1,숙성육이라 육질이 좋네요 자주 이용하겠습니다 안심을 파는곳이 많이 없는것 같은데 이곳은 안심이 있어서 좋아요 고기는 안심이죠 강추
5.0,1,역시 고기는 숙성육 살치살 너무 맛나요 강추
5.0,1,갈비탕 굿 티브에 나왔다고 해서 먹어봤는데 최고 담엔 저녁에 고기를 이용해 봐야 겠네요대갈비가 대나 들어있네요 잘 먹었습니다
5.0,1,고기 맛있고 서비스 좋았습니다 
5.0,1,언제나 고기는 맛있었구요사장님 고기두 직접구워주시고 친절하시구 만족합니다
5.0,1,반찬이 진짜 다 맛있고 고기도 맛있어요깔끔해서좋네요
5.0,1,늘 맛있게 먹고 있어요요기 고기도 구워주시고 반찬도 진짜 맛있어용회식할때마다 제가 추천하고있어요 사장님오겹살 삼겹살 고기 다 뿌시러 또 갈게요 
5.0,1,깨끗하고 맛있고 좋네요
5.0,1,친절하시고 맛두 굿입니다 
5.0,1,늘 가족들이랑 찾는 곳이에요 여기서 삼겹살이랑 솥밥은 꼭 드셔보세요 저는 삼겹살은 여기서만 먹어요 고기가 두툼하고 숯이 다른데서 쓰는 숯이랑 다르더라고요 진짜 숯불고기맛  다른데는 이제 못먹을거 같아요  사장님 자주 방문할게요
5.0,1,잘 먹었습니다고기 맛 있고 넘 좋았어요
5.0,1,맛있어요 강남최고가성비인듯 술까지 원 나왔는데 어디가서 이렇게 못 먹음 밥도 원인데 돌솥밥으로 줌 최고
4.0,1,다좋고 맛있는데 떡볶이가 찜닭떡볶이 간장으로바뀐게 아쉬웟어요
5.0,1,시 메니져님 완전 친절하시고고기맛있고 가격좋고 재방문 예약이요
5.0,1,맛있었어요 직원이 친절해요
4.5,1,만족스러웠어요 고기질도 좋고
5.0,1,맛있숴요
5.0,1,흑돼지 삼겹살이 진짜 맛있어요  고기도 엄청 두툼하고 퀄리티 장난아님
5.0,1,손소독제도 잘 비치되어있고 청결도 꼼꼼하게신경쓰는 곳 같아서 안심하고 먹었습니다고기도 너무 맛있었고 직원분들도 친절했어요다음에 또 올게요
5.0,1,몇번을 리필해서 먹었는지몰라요서비스도 굿 고기퀄도 굿다음에 또 올게요
5.0,1,점심에 방문했어요배부르게 잘 먹고갑니다다음에 또올게요
5.0,1,너무 맛있어서 다음에 또 올려고요강남에서 무한리필집 찾으시는 분들 고민말고 배갈비로 오세욥
4.0,1,잘먹고갑니다  사장님 마인드가 너무 멋지신것같아요 담에 또 가고싶어요
4.0,1,모든 것주문 불판청소불판교체요청시이 셀프여서 귀찮긴 하지만그만큼 저렴한 가격예약 시 별도 룸과 껍데기 서비스를 주기 때문에예약하고 가는 것을 추천
5.0,1,가격대비 짱짱맨 좋아요
